State Name,AQI,Date
Kentucky,101,2015-08-01
Kentucky,159,2015-09-01
Kentucky,139,2015-10-01
Kentucky,71,2015-11-01
Kentucky,70,2015-12-01
Louisiana,79,2015-01-01
Louisiana,102,2015-02-01
Louisiana,100,2015-03-01
Louisiana,122,2015-04-01
Louisiana,129,2015-05-01
Louisiana,126,2015-06-01
Louisiana,156,2015-07-01
Louisiana,147,2015-08-01
Louisiana,103,2015-09-01
Louisiana,156,2015-10-01
Louisiana,107,2015-11-01
Louisiana,121,2015-12-01
Maine,97,2015-01-01
Maine,76,2015-02-01
Maine,94,2015-03-01
Maine,77,2015-04-01
Maine,108,2015-05-01
Maine,100,2015-06-01
Maine,105,2015-07-01
Maine,133,2015-08-01
Maine,143,2015-09-01
Maine,62,2015-10-01
Maine,63,2015-11-01
Maine,74,2015-12-01
Maryland,85,2015-01-01
Maryland,95,2015-02-01
Maryland,82,2015-03-01
Maryland,100,2015-04-01
Maryland,112,2015-05-01
Maryland,187,2015-06-01
Maryland,101,2015-07-01
Maryland,129,2015-08-01
Maryland,156,2015-09-01
Maryland,61,2015-10-01
Maryland,73,2015-11-01
Maryland,100,2015-12-01
Massachusetts,79,2015-01-01
Massachusetts,82,2015-02-01
Massachusetts,81,2015-03-01
Massachusetts,71,2015-04-01
Massachusetts,108,2015-05-01
Massachusetts,122,2015-06-01
Massachusetts,112,2015-07-01
Massachusetts,115,2015-08-01
Massachusetts,156,2015-09-01
Massachusetts,64,2015-10-01
Massachusetts,79,2015-11-01
Massachusetts,71,2015-12-01
Michigan,105,2015-01-01
Michigan,95,2015-02-01
Michigan,114,2015-03-01
Michigan,93,2015-04-01
Michigan,119,2015-05-01
Michigan,126,2015-06-01
Michigan,165,2015-07-01
Michigan,122,2015-08-01
Michigan,133,2015-09-01
Michigan,87,2015-10-01
Michigan,97,2015-11-01
Michigan,83,2015-12-01
Minnesota,85,2015-01-01
Minnesota,108,2015-02-01
Minnesota,72,2015-03-01
Minnesota,119,2015-04-01
Minnesota,101,2015-05-01
Minnesota,110,2015-06-01
Minnesota,151,2015-07-01
Minnesota,119,2015-08-01
Minnesota,110,2015-09-01
Minnesota,92,2015-10-01
Minnesota,82,2015-11-01
Minnesota,66,2015-12-01
Mississippi,85,2015-01-01
Mississippi,83,2015-02-01
Mississippi,77,2015-03-01
Mississippi,84,2015-04-01
Mississippi,100,2015-05-01
Mississippi,94,2015-06-01
Mississippi,72,2015-07-01
Mississippi,97,2015-08-01
Mississippi,87,2015-09-01
Mississippi,115,2015-10-01
Mississippi,55,2015-11-01
Mississippi,77,2015-12-01
Missouri,133,2015-01-01
Missouri,134,2015-02-01
Missouri,121,2015-03-01
Missouri,127,2015-04-01
Missouri,123,2015-05-01
Missouri,129,2015-06-01
Missouri,136,2015-07-01
Missouri,119,2015-08-01
Missouri,124,2015-09-01
Missouri,117,2015-10-01
Missouri,154,2015-11-01
Missouri,124,2015-12-01
Montana,147,2015-01-01
Montana,92,2015-02-01
Montana,158,2015-03-01
Montana,74,2015-04-01
Montana,130,2015-05-01
Montana,191,2015-06-01
Montana,135,2015-07-01
Montana,247,2015-08-01
Montana,164,2015-09-01
Montana,158,2015-10-01
Montana,111,2015-11-01
Montana,132,2015-12-01
Nebraska,115,2015-01-01
Nebraska,82,2015-02-01
